"country_name","genres","n"
"Argentina","Action",149
"Argentina","Adult",3
"Argentina","Adventure",109
"Argentina","Animation",55
"Argentina","Biography",6
"Argentina","Comedy",167
"Argentina","Crime",133
"Argentina","Documentary",14
"Argentina","Drama",359
"Argentina","Family",17
"Argentina","Fantasy",22
"Argentina","Film-Noir",3
"Argentina","History",6
"Argentina","Horror",39
"Argentina","Music",35
"Argentina","Musical",2
"Argentina","Mystery",67
"Argentina","Romance",96
"Argentina","Sci-Fi",17
"Argentina","Sport",9
"Argentina","Talk-Show",9
"Argentina","Thriller",78
"Argentina","War",4
"Argentina","Western",1
"Australia","Action",192
"Australia","Adult",2
"Australia","Adventure",140
"Australia","Animation",57
"Australia","Biography",14
"Australia","Comedy",185
"Australia","Crime",126
"Australia","Documentary",22
"Australia","Drama",278
"Australia","Family",46
"Australia","Fantasy",52
"Australia","Film-Noir",3
"Australia","Game-Show",8
"Australia","History",10
"Australia","Horror",27
"Australia","Mystery",62
"Australia","Reality-TV",25
"Australia","Romance",74
"Australia","Sci-Fi",46
"Australia","Sport",9
"Australia","Talk-Show",10
"Australia","Thriller",63
"Australia","War",8
"Australia","Western",2
"Austria","Action",207
"Austria","Adult",2
"Austria","Adventure",127
"Austria","Animation",37
"Austria","Biography",13
"Austria","Comedy",180
"Austria","Crime",146
"Austria","Documentary",27
"Austria","Drama",308
"Austria","Family",45
"Austria","Fantasy",60
"Austria","Film-Noir",4
"Austria","Game-Show",6
"Austria","History",8
"Austria","Horror",39
"Austria","Music",1
"Austria","Mystery",62
"Austria","Reality-TV",11
"Austria","Romance",85
"Austria","Sci-Fi",19
"Austria","Sport",16
"Austria","Talk-Show",11
"Austria","Thriller",72
"Austria","War",3
"Austria","Western",2
"Bahamas","Action",188
"Bahamas","Adult",5
"Bahamas","Adventure",111
"Bahamas","Animation",76
"Bahamas","Biography",8
"Bahamas","Comedy",172
"Bahamas","Crime",130
"Bahamas","Documentary",13
"Bahamas","Drama",286
"Bahamas","Family",49
"Bahamas","Fantasy",32
"Bahamas","Film-Noir",2
"Bahamas","Game-Show",5
"Bahamas","History",7
"Bahamas","Horror",37
"Bahamas","Music",2
"Bahamas","Musical",1
"Bahamas","Mystery",47
"Bahamas","Reality-TV",9
"Bahamas","Romance",71
"Bahamas","Sci-Fi",25
"Bahamas","Sport",9
"Bahamas","Talk-Show",6
"Bahamas","Thriller",94
"Bahamas","War",4
"Bahrain","Action",214
"Bahrain","Adult",3
"Bahrain","Adventure",114
"Bahrain","Animation",39
"Bahrain","Biography",14
"Bahrain","Comedy",160
"Bahrain","Crime",130
"Bahrain","Documentary",17
"Bahrain","Drama",326
"Bahrain","Family",18
"Bahrain","Fantasy",40
"Bahrain","Film-Noir",3
"Bahrain","Game-Show",11
"Bahrain","History",6
"Bahrain","Horror",37
"Bahrain","Music",1
"Bahrain","Musical",1
"Bahrain","Mystery",55
"Bahrain","Reality-TV",14
"Bahrain","Romance",96
"Bahrain","Sci-Fi",24
"Bahrain","Short",1
"Bahrain","Sport",8
"Bahrain","Talk-Show",10
"Bahrain","Thriller",69
"Bahrain","War",2
"Bahrain","Western",2
"Bangladesh","Action",243
"Bangladesh","Adult",2
"Bangladesh","Adventure",91
"Bangladesh","Animation",35
"Bangladesh","Biography",3
"Bangladesh","Comedy",181
"Bangladesh","Crime",173
"Bangladesh","Documentary",9
"Bangladesh","Drama",363
"Bangladesh","Family",13
"Bangladesh","Fantasy",29
"Bangladesh","Film-Noir",3
"Bangladesh","Game-Show",4
"Bangladesh","History",4
"Bangladesh","Horror",32
"Bangladesh","Musical",5
"Bangladesh","Mystery",97
"Bangladesh","Reality-TV",2
"Bangladesh","Romance",101
"Bangladesh","Sci-Fi",42
"Bangladesh","Short",5
"Bangladesh","Sport",1
"Bangladesh","Talk-Show",10
"Bangladesh","Thriller",69
"Bangladesh","War",2
"Belgium","Action",205
"Belgium","Adult",2
"Belgium","Adventure",140
"Belgium","Animation",56
"Belgium","Biography",12
"Belgium","Comedy",186
"Belgium","Crime",139
"Belgium","Documentary",17
"Belgium","Drama",306
"Belgium","Family",23
"Belgium","Fantasy",53
"Belgium","Film-Noir",3
"Belgium","Game-Show",5
"Belgium","History",4
"Belgium","Horror",35
"Belgium","Music",8
"Belgium","Mystery",52
"Belgium","Reality-TV",9
"Belgium","Romance",88
"Belgium","Sci-Fi",30
"Belgium","Sport",11
"Belgium","Talk-Show",8
"Belgium","Thriller",60
"Belgium","War",4
"Belgium","Western",2
"Bolivia","Action",173
"Bolivia","Adult",3
"Bolivia","Adventure",147
"Bolivia","Animation",99
"Bolivia","Biography",1
"Bolivia","Comedy",215
"Bolivia","Crime",83
"Bolivia","Documentary",11
"Bolivia","Drama",264
"Bolivia","Family",15
"Bolivia","Fantasy",27
"Bolivia","Film-Noir",2
"Bolivia","Horror",32
"Bolivia","Music",18
"Bolivia","Mystery",46
"Bolivia","Reality-TV",3
"Bolivia","Romance",106
"Bolivia","Sci-Fi",27
"Bolivia","Short",2
"Bolivia","Sport",5
"Bolivia","Talk-Show",6
"Bolivia","Thriller",52
"Bolivia","War",3
"Brazil","Action",169
"Brazil","Adult",4
"Brazil","Adventure",194
"Brazil","Animation",72
"Brazil","Biography",6
"Brazil","Comedy",172
"Brazil","Crime",112
"Brazil","Documentary",17
"Brazil","Drama",255
"Brazil","Family",77
"Brazil","Fantasy",29
"Brazil","Film-Noir",3
"Brazil","Game-Show",4
"Brazil","History",3
"Brazil","Horror",35
"Brazil","Music",40
"Brazil","Musical",23
"Brazil","Mystery",54
"Brazil","Reality-TV",11
"Brazil","Romance",117
"Brazil","Sci-Fi",23
"Brazil","Short",2
"Brazil","Sport",5
"Brazil","Talk-Show",6
"Brazil","Thriller",66
"Brazil","War",3
"Bulgaria","Action",223
"Bulgaria","Adult",3
"Bulgaria","Adventure",133
"Bulgaria","Animation",52
"Bulgaria","Biography",10
"Bulgaria","Comedy",178
"Bulgaria","Crime",119
"Bulgaria","Documentary",26
"Bulgaria","Drama",303
"Bulgaria","Family",26
"Bulgaria","Fantasy",42
"Bulgaria","Film-Noir",4
"Bulgaria","Game-Show",10
"Bulgaria","History",5
"Bulgaria","Horror",31
"Bulgaria","Music",2
"Bulgaria","Mystery",49
"Bulgaria","Reality-TV",15
"Bulgaria","Romance",98
"Bulgaria","Sci-Fi",43
"Bulgaria","Sport",10
"Bulgaria","Talk-Show",11
"Bulgaria","Thriller",55
