"id","n","label","parent"
"total",117958,NA,NA
"total",123,"total","total"
"total  -  Action",18670,"Action","total"
"total  -  Adventure",11132,"Adventure","total"
"total  -  Animation",4145,"Animation","total"
"total  -  Comedy",16745,"Comedy","total"
"total  -  Crime",12145,"Crime","total"
"total  -  Drama",29427,"Drama","total"
"total  -  Family",383,"Family","total"
"total  -  Fantasy",2308,"Fantasy","total"
"total  -  Horror",1238,"Horror","total"
"total  -  Music",117,"Music","total"
"total  -  Mystery",5208,"Mystery","total"
"total  -  Romance",8965,"Romance","total"
"total  -  Sci Fi",1096,"Sci Fi","total"
"total  -  Short",83,"Short","total"
"total  -  Thriller",6173,"Thriller","total"
"total  -  Western",123,"Western","total"
"total  -  Action  -  Argentina",149,"Argentina","total  -  Action"
"total  -  Adventure  -  Argentina",109,"Argentina","total  -  Adventure"
"total  -  Animation  -  Argentina",55,"Argentina","total  -  Animation"
"total  -  Comedy  -  Argentina",167,"Argentina","total  -  Comedy"
"total  -  Crime  -  Argentina",133,"Argentina","total  -  Crime"
"total  -  Drama  -  Argentina",359,"Argentina","total  -  Drama"
"total  -  Horror  -  Argentina",39,"Argentina","total  -  Horror"
"total  -  Mystery  -  Argentina",67,"Argentina","total  -  Mystery"
"total  -  Romance  -  Argentina",96,"Argentina","total  -  Romance"
"total  -  Thriller  -  Argentina",78,"Argentina","total  -  Thriller"
"total  -  Action  -  Australia",192,"Australia","total  -  Action"
"total  -  Adventure  -  Australia",140,"Australia","total  -  Adventure"
"total  -  Animation  -  Australia",57,"Australia","total  -  Animation"
"total  -  Comedy  -  Australia",185,"Australia","total  -  Comedy"
"total  -  Crime  -  Australia",126,"Australia","total  -  Crime"
"total  -  Drama  -  Australia",278,"Australia","total  -  Drama"
"total  -  Fantasy  -  Australia",52,"Australia","total  -  Fantasy"
"total  -  Mystery  -  Australia",62,"Australia","total  -  Mystery"
"total  -  Romance  -  Australia",74,"Australia","total  -  Romance"
"total  -  Thriller  -  Australia",63,"Australia","total  -  Thriller"
"total  -  Action  -  Austria",207,"Austria","total  -  Action"
"total  -  Adventure  -  Austria",127,"Austria","total  -  Adventure"
"total  -  Comedy  -  Austria",180,"Austria","total  -  Comedy"
"total  -  Crime  -  Austria",146,"Austria","total  -  Crime"
"total  -  Drama  -  Austria",308,"Austria","total  -  Drama"
"total  -  Family  -  Austria",45,"Austria","total  -  Family"
"total  -  Fantasy  -  Austria",60,"Austria","total  -  Fantasy"
"total  -  Mystery  -  Austria",62,"Austria","total  -  Mystery"
"total  -  Romance  -  Austria",85,"Austria","total  -  Romance"
"total  -  Thriller  -  Austria",72,"Austria","total  -  Thriller"
"total  -  Action  -  Bahamas",188,"Bahamas","total  -  Action"
"total  -  Adventure  -  Bahamas",111,"Bahamas","total  -  Adventure"
"total  -  Animation  -  Bahamas",76,"Bahamas","total  -  Animation"
"total  -  Comedy  -  Bahamas",172,"Bahamas","total  -  Comedy"
"total  -  Crime  -  Bahamas",130,"Bahamas","total  -  Crime"
"total  -  Drama  -  Bahamas",286,"Bahamas","total  -  Drama"
"total  -  Family  -  Bahamas",49,"Bahamas","total  -  Family"
"total  -  Mystery  -  Bahamas",47,"Bahamas","total  -  Mystery"
"total  -  Romance  -  Bahamas",71,"Bahamas","total  -  Romance"
"total  -  Thriller  -  Bahamas",94,"Bahamas","total  -  Thriller"
"total  -  Action  -  Bahrain",214,"Bahrain","total  -  Action"
"total  -  Adventure  -  Bahrain",114,"Bahrain","total  -  Adventure"
"total  -  Animation  -  Bahrain",39,"Bahrain","total  -  Animation"
"total  -  Comedy  -  Bahrain",160,"Bahrain","total  -  Comedy"
"total  -  Crime  -  Bahrain",130,"Bahrain","total  -  Crime"
