"label","n","parent","id"
"Action",18670,NA,"Action"
"Adult",262,NA,"Adult"
"Adventure",11132,NA,"Adventure"
"Animation",4848,NA,"Animation"
"Biography",785,NA,"Biography"
"Comedy",16745,NA,"Comedy"
"Crime",12145,NA,"Crime"
"Documentary",1663,NA,"Documentary"
"Drama",29427,NA,"Drama"
"Family",2255,NA,"Family"
"Fantasy",3531,NA,"Fantasy"
"Film Noir",297,NA,"Film Noir"
"Game Show",499,NA,"Game Show"
"History",516,NA,"History"
"Horror",3172,NA,"Horror"
"Music",913,NA,"Music"
"Musical",121,NA,"Musical"
"Mystery",5208,NA,"Mystery"
"News",2,NA,"News"
"Reality TV",902,NA,"Reality TV"
"Romance",8965,NA,"Romance"
"Sci Fi",2817,NA,"Sci Fi"
"Short",216,NA,"Short"
"Sport",768,NA,"Sport"
"Talk Show",761,NA,"Talk Show"
"Thriller",6173,NA,"Thriller"
"War",360,NA,"War"
"Western",123,NA,"Western"
"Argentina",149,"Action","Action  -  Argentina"
"Argentina",3,"Adult","Adult  -  Argentina"
"Argentina",109,"Adventure","Adventure  -  Argentina"
"Argentina",55,"Animation","Animation  -  Argentina"
"Argentina",6,"Biography","Biography  -  Argentina"
"Argentina",167,"Comedy","Comedy  -  Argentina"
"Argentina",133,"Crime","Crime  -  Argentina"
"Argentina",14,"Documentary","Documentary  -  Argentina"
"Argentina",359,"Drama","Drama  -  Argentina"
"Argentina",17,"Family","Family  -  Argentina"
"Argentina",22,"Fantasy","Fantasy  -  Argentina"
"Argentina",3,"Film Noir","Film Noir  -  Argentina"
"Argentina",6,"History","History  -  Argentina"
"Argentina",39,"Horror","Horror  -  Argentina"
"Argentina",35,"Music","Music  -  Argentina"
"Argentina",2,"Musical","Musical  -  Argentina"
"Argentina",67,"Mystery","Mystery  -  Argentina"
"Argentina",96,"Romance","Romance  -  Argentina"
"Argentina",17,"Sci Fi","Sci Fi  -  Argentina"
"Argentina",9,"Sport","Sport  -  Argentina"
"Argentina",9,"Talk Show","Talk Show  -  Argentina"
