"parents","n","labels","id"
"Argentina",149,"Action","Argentina  -  Action"
"Argentina",3,"Adult","Argentina  -  Adult"
"Argentina",109,"Adventure","Argentina  -  Adventure"
"Argentina",55,"Animation","Argentina  -  Animation"
"Argentina",6,"Biography","Argentina  -  Biography"
"Argentina",167,"Comedy","Argentina  -  Comedy"
"Argentina",133,"Crime","Argentina  -  Crime"
"Argentina",14,"Documentary","Argentina  -  Documentary"
"Argentina",359,"Drama","Argentina  -  Drama"
"Argentina",17,"Family","Argentina  -  Family"
"Argentina",22,"Fantasy","Argentina  -  Fantasy"
"Argentina",3,"Film Noir","Argentina  -  Film Noir"
"Argentina",6,"History","Argentina  -  History"
"Argentina",39,"Horror","Argentina  -  Horror"
"Argentina",35,"Music","Argentina  -  Music"
"Argentina",2,"Musical","Argentina  -  Musical"
"Argentina",67,"Mystery","Argentina  -  Mystery"
"Argentina",96,"Romance","Argentina  -  Romance"
"Argentina",17,"Sci Fi","Argentina  -  Sci Fi"
"Argentina",9,"Sport","Argentina  -  Sport"
"Argentina",9,"Talk Show","Argentina  -  Talk Show"
"Argentina",78,"Thriller","Argentina  -  Thriller"
"Argentina",4,"War","Argentina  -  War"
"Argentina",1,"Western","Argentina  -  Western"
"Australia",192,"Action","Australia  -  Action"
"Australia",2,"Adult","Australia  -  Adult"
"Australia",140,"Adventure","Australia  -  Adventure"
"Australia",57,"Animation","Australia  -  Animation"
"Australia",14,"Biography","Australia  -  Biography"
"Australia",185,"Comedy","Australia  -  Comedy"
"Australia",126,"Crime","Australia  -  Crime"
"Australia",22,"Documentary","Australia  -  Documentary"
"Australia",278,"Drama","Australia  -  Drama"
"Australia",46,"Family","Australia  -  Family"
"Australia",52,"Fantasy","Australia  -  Fantasy"
"Australia",3,"Film Noir","Australia  -  Film Noir"
"Australia",8,"Game Show","Australia  -  Game Show"
"Australia",10,"History","Australia  -  History"
"Australia",27,"Horror","Australia  -  Horror"
"Australia",62,"Mystery","Australia  -  Mystery"
"Australia",25,"Reality TV","Australia  -  Reality TV"
"Australia",74,"Romance","Australia  -  Romance"
"Australia",46,"Sci Fi","Australia  -  Sci Fi"
"Australia",9,"Sport","Australia  -  Sport"
"Australia",10,"Talk Show","Australia  -  Talk Show"
"Australia",63,"Thriller","Australia  -  Thriller"
"Australia",8,"War","Australia  -  War"
"Australia",2,"Western","Australia  -  Western"
"Austria",207,"Action","Austria  -  Action"
"Austria",2,"Adult","Austria  -  Adult"
"Austria",127,"Adventure","Austria  -  Adventure"
"Austria",37,"Animation","Austria  -  Animation"
"Austria",13,"Biography","Austria  -  Biography"
"Austria",180,"Comedy","Austria  -  Comedy"
"Austria",146,"Crime","Austria  -  Crime"
"Austria",27,"Documentary","Austria  -  Documentary"
"Austria",308,"Drama","Austria  -  Drama"
"Austria",45,"Family","Austria  -  Family"
"Austria",60,"Fantasy","Austria  -  Fantasy"
"Austria",4,"Film Noir","Austria  -  Film Noir"
"Austria",6,"Game Show","Austria  -  Game Show"
"Austria",8,"History","Austria  -  History"
"Austria",39,"Horror","Austria  -  Horror"
"Austria",1,"Music","Austria  -  Music"
"Austria",62,"Mystery","Austria  -  Mystery"
"Austria",11,"Reality TV","Austria  -  Reality TV"
"Austria",85,"Romance","Austria  -  Romance"
"Austria",19,"Sci Fi","Austria  -  Sci Fi"
"Austria",16,"Sport","Austria  -  Sport"
"Austria",11,"Talk Show","Austria  -  Talk Show"
"Austria",72,"Thriller","Austria  -  Thriller"
"Austria",3,"War","Austria  -  War"
"Austria",2,"Western","Austria  -  Western"
"Bahamas",188,"Action","Bahamas  -  Action"
"Bahamas",5,"Adult","Bahamas  -  Adult"
"Bahamas",111,"Adventure","Bahamas  -  Adventure"
"Bahamas",76,"Animation","Bahamas  -  Animation"
"Bahamas",8,"Biography","Bahamas  -  Biography"
"Bahamas",172,"Comedy","Bahamas  -  Comedy"
"Bahamas",130,"Crime","Bahamas  -  Crime"
"Bahamas",13,"Documentary","Bahamas  -  Documentary"
"Bahamas",286,"Drama","Bahamas  -  Drama"
"Bahamas",49,"Family","Bahamas  -  Family"
"Bahamas",32,"Fantasy","Bahamas  -  Fantasy"
"Bahamas",2,"Film Noir","Bahamas  -  Film Noir"
"Bahamas",5,"Game Show","Bahamas  -  Game Show"
"Bahamas",7,"History","Bahamas  -  History"
"Bahamas",37,"Horror","Bahamas  -  Horror"
"Bahamas",2,"Music","Bahamas  -  Music"
"Bahamas",1,"Musical","Bahamas  -  Musical"
"Bahamas",47,"Mystery","Bahamas  -  Mystery"
"Bahamas",9,"Reality TV","Bahamas  -  Reality TV"
"Bahamas",71,"Romance","Bahamas  -  Romance"
"Bahamas",25,"Sci Fi","Bahamas  -  Sci Fi"
"Bahamas",9,"Sport","Bahamas  -  Sport"
"Bahamas",6,"Talk Show","Bahamas  -  Talk Show"
"Bahamas",94,"Thriller","Bahamas  -  Thriller"
"Bahamas",4,"War","Bahamas  -  War"
"Bahrain",214,"Action","Bahrain  -  Action"
"Bahrain",3,"Adult","Bahrain  -  Adult"
"Bahrain",114,"Adventure","Bahrain  -  Adventure"
"Bahrain",39,"Animation","Bahrain  -  Animation"
"Bahrain",14,"Biography","Bahrain  -  Biography"
"Bahrain",160,"Comedy","Bahrain  -  Comedy"
"Bahrain",130,"Crime","Bahrain  -  Crime"
"Bahrain",17,"Documentary","Bahrain  -  Documentary"
"Bahrain",326,"Drama","Bahrain  -  Drama"
"Bahrain",18,"Family","Bahrain  -  Family"
"Bahrain",40,"Fantasy","Bahrain  -  Fantasy"
"Bahrain",3,"Film Noir","Bahrain  -  Film Noir"
"Bahrain",11,"Game Show","Bahrain  -  Game Show"
"Bahrain",6,"History","Bahrain  -  History"
"Bahrain",37,"Horror","Bahrain  -  Horror"
"Bahrain",1,"Music","Bahrain  -  Music"
"Bahrain",1,"Musical","Bahrain  -  Musical"
"Bahrain",55,"Mystery","Bahrain  -  Mystery"
"Bahrain",14,"Reality TV","Bahrain  -  Reality TV"
"Bahrain",96,"Romance","Bahrain  -  Romance"
"Bahrain",24,"Sci Fi","Bahrain  -  Sci Fi"
"Bahrain",1,"Short","Bahrain  -  Short"
"Bahrain",8,"Sport","Bahrain  -  Sport"
"Bahrain",10,"Talk Show","Bahrain  -  Talk Show"
"Bahrain",69,"Thriller","Bahrain  -  Thriller"
"Bahrain",2,"War","Bahrain  -  War"
"Bahrain",2,"Western","Bahrain  -  Western"
"Bangladesh",243,"Action","Bangladesh  -  Action"
"Bangladesh",2,"Adult","Bangladesh  -  Adult"
"Bangladesh",91,"Adventure","Bangladesh  -  Adventure"
"Bangladesh",35,"Animation","Bangladesh  -  Animation"
"Bangladesh",3,"Biography","Bangladesh  -  Biography"
"Bangladesh",181,"Comedy","Bangladesh  -  Comedy"
"Bangladesh",173,"Crime","Bangladesh  -  Crime"
"Bangladesh",9,"Documentary","Bangladesh  -  Documentary"
"Bangladesh",363,"Drama","Bangladesh  -  Drama"
"Bangladesh",13,"Family","Bangladesh  -  Family"
"Bangladesh",29,"Fantasy","Bangladesh  -  Fantasy"
"Bangladesh",3,"Film Noir","Bangladesh  -  Film Noir"
"Bangladesh",4,"Game Show","Bangladesh  -  Game Show"
"Bangladesh",4,"History","Bangladesh  -  History"
"Bangladesh",32,"Horror","Bangladesh  -  Horror"
"Bangladesh",5,"Musical","Bangladesh  -  Musical"
"Bangladesh",97,"Mystery","Bangladesh  -  Mystery"
"Bangladesh",2,"Reality TV","Bangladesh  -  Reality TV"
"Bangladesh",101,"Romance","Bangladesh  -  Romance"
"Bangladesh",42,"Sci Fi","Bangladesh  -  Sci Fi"
"Bangladesh",5,"Short","Bangladesh  -  Short"
"Bangladesh",1,"Sport","Bangladesh  -  Sport"
"Bangladesh",10,"Talk Show","Bangladesh  -  Talk Show"
"Bangladesh",69,"Thriller","Bangladesh  -  Thriller"
"Bangladesh",2,"War","Bangladesh  -  War"
"Belgium",205,"Action","Belgium  -  Action"
"Belgium",2,"Adult","Belgium  -  Adult"
"Belgium",140,"Adventure","Belgium  -  Adventure"
"Belgium",56,"Animation","Belgium  -  Animation"
"Belgium",12,"Biography","Belgium  -  Biography"
"Belgium",186,"Comedy","Belgium  -  Comedy"
"Belgium",139,"Crime","Belgium  -  Crime"
"Belgium",17,"Documentary","Belgium  -  Documentary"
"Belgium",306,"Drama","Belgium  -  Drama"
"Belgium",23,"Family","Belgium  -  Family"
